approach,precision,recall,storage,preparationTime,predictionTime
Pinto-KNN,0.9457116974525103,0.8533435026072688,474784731,7.992902022563007,0.004757759840945325
FLAST-k3-sigma0.5,0.9140257675341305,0.9279515675300767,19796475,0.9967726292011384,0.0007193781357080065
FLAST-k3-sigma0.95,0.9784085015906372,0.8267102632690903,19796475,0.5500897941084195,0.00035791597603966325
FLAST-k7-sigma0.5,0.9250824596128316,0.9148102700201652,19796475,0.38830362860200024,0.00036374357349614367
FLAST-k7-sigma0.95,0.9913057485839971,0.700705867610692,19796475,0.40293086478839474,0.0003701053984758205
